bigg,ms
h2o,cpd00001
atp,cpd00002
nad,cpd00003
nadh,cpd00004
nadph,cpd00005
nadp,cpd00006
adp,cpd00008
pi,cpd00009
coa,cpd00010
co2,cpd00011
ppi,cpd00012
nh4,cpd00013
udp,cpd00014
fad,cpd00015
amet,cpd00017
amp,cpd00018
ahcys,cpd00019
pyr,cpd00020
accoa,cpd00022
glu__L,cpd00023
akg,cpd00024
udpg,cpd00026
glc__D,cpd00027
ac,cpd00029
gdp,cpd00031
oaa,cpd00032
gly,cpd00033
ala__L,cpd00035
succ,cpd00036
uacgam,cpd00037
gtp,cpd00038
lys__L,cpd00039
glx,cpd00040
asp__L,cpd00041
paps,cpd00044
pap,cpd00045
cmp,cpd00046
for,cpd00047
so4,cpd00048
fmn,cpd00050
arg__L,cpd00051
ctp,cpd00052
gln__L,cpd00053
ser__L,cpd00054
trna,cpd11615
thmpp,cpd00056
met__L,cpd00060
pep,cpd00061
utp,cpd00062
trp__L,cpd00065
phe__L,cpd00066
h,cpd00067
itp,cpd00068
tyr__L,cpd00069
malcoa,cpd00070
acald,cpd00071
f6p,cpd00072
urea,cpd00073
succoa,cpd00078
g6p,cpd00079
glyc3p,cpd00080
so3,cpd00081
fru,cpd00082
gdpmann,cpd00083
cys__L,cpd00084
ala_B,cpd00085
ppcoa,cpd00086
thf,cpd00087
g1p,cpd00089
idp,cpd00090
ump,cpd00091
ura,cpd00092
anth,cpd00093
2obut,cpd00094
dhap,cpd00095
cdp,cpd00096
glyc,cpd00100
r5p,cpd00101
g3p,cpd00102
prpp,cpd00103
btn,cpd00104
fum,cpd00106
leu__L,cpd00107
gal,cpd00108
ipdp,cpd00113
imp,cpd00114
datp,cpd00115
meoh,cpd00116
ala__D,cpd00117
ptrc,cpd00118
his__L,cpd00119
btcoa,cpd00120
acgam,cpd00122
3mob,cpd00123
mlthf,cpd00125
gmp,cpd00126
ade,cpd00128
pro__L,cpd00129
mal__L,cpd00130
asn__L,cpd00132
ncam,cpd00133
pmtcoa,cpd00134
hcys__L,cpd00135
4hbz,cpd00136
cit,cpd00137
glyclt,cpd00139
ppa,cpd00141
phpyr,cpd00143
udpglcur,cpd00144
hpyr,cpd00145
cbp,cpd00146
5mta,cpd00147
agm,cpd00152
bz,cpd00153
val__L,cpd00156
cellb,cpd00158
lac__L,cpd00159
thr__L,cpd00161
adocbl,cpd00166
3pg,cpd00169
ru5p__D,cpd00171
2ddglcn,cpd00176
dadp,cpd00177
adn,cpd00182
thymd,cpd00184
glu__D,cpd00186
aps,cpd00193
