icbi_id,icbi_rxn,isg_rxn,isg_id,icbi_mb,curated_rxn,curation_notes,action
ECH,2.0 fdxr_42_c --> 2.0 fdxo_42_c + h2_c,2.0 fdxr_42_c + 3.0 h_c <=> 2.0 fdxo_42_c + h2_c + h_e,ECH,"{'charge': 2.0, 'H': 2.0}",2.0 fdxr_42_c + 3.0 h_c <=> 2.0 fdxo_42_c + h2_c + h_e,this type of reaction is reversible,
PPGPPDP,h2o_c + ppgpp_c --> gdp_c + ppi_c,h2o_c + ppgpp_c --> gdp_c + h_c + ppi_c,PPGPPDP,"{'charge': -1.0, 'H': -1.0}",h2o_c + ppgpp_c --> gdp_c + h_c + ppi_c,,
GTPDPK,atp_c + gtp_c --> amp_c + gdptp_c + 2.0 h_c,atp_c + gtp_c --> amp_c + gdptp_c,GTPDPK,"{'charge': 1.0, 'H': 1.0}",atp_c + gtp_c --> amp_c + gdptp_c + 1.0 h_c,,
SULR_ferr,6.0 fdxr_42_c + so3_c --> 6.0 fdxo_42_c + 3.0 h2o_c + h2s_c,6.0 fdxr_42_c + 7.0 h_c + so3_c --> 6.0 fdxo_42_c + 3.0 h2o_c + h2s_c,SULR_ferr,"{'charge': 6.0, 'H': 6.0}",6.0 fdxr_42_c + 6.0 h_c + so3_c --> 6.0 fdxo_42_c + 3.0 h2o_c + h2s_c,,
DOLPMT,dolp_c + gdpmann_c --> dolmanp_c + gdp_c,docylp_c + gdpmann_c --> dolmanp_c + gdp_c + 2.0 h_c,DOLPMT,"{'charge': 1.0, 'H': 1.0}",dolp_c + gdpmann_c + 1.0 h_c --> dolmanp_c + gdp_c,,
POR,coa_c + 2.0 fdxo_42_c + h_c + pyr_c --> accoa_c + co2_c + 2.0 fdxr_42_c,coa_c + 2.0 fdxo_42_c + pyr_c --> accoa_c + co2_c + 2.0 fdxr_42_c + h_c,POR,"{'charge': -2.0, 'H': -2.0}",coa_c + 2.0 fdxo_42_c + pyr_c --> accoa_c + co2_c + 2.0 fdxr_42_c + h_c,,
OOR3,akg_c + coa_c + 2.0 fdxo_42_c + h_c --> co2_c + 2.0 fdxr_42_c + succoa_c,akg_c + coa_c + 2.0 fdxo_42_c --> co2_c + 2.0 fdxr_42_c + h_c + succoa_c,OOR3,"{'charge': -2.0, 'H': -2.0}",akg_c + coa_c + 2.0 fdxo_42_c --> co2_c + 2.0 fdxr_42_c + h_c + succoa_c,,
OBFOR,2obut_c + coa_c + 2.0 fdxo_42_c + h_c --> co2_c + 2.0 fdxr_42_c + ppcoa_c,2obut_c + coa_c + 2.0 fdxo_42_c --> co2_c + 2.0 fdxr_42_c + h_c + ppcoa_c,OBFOR,"{'charge': -2.0, 'H': -2.0}",2obut_c + coa_c + 2.0 fdxo_42_c --> co2_c + 2.0 fdxr_42_c + h_c + ppcoa_c,,
HPS,3hpp_c + atp_c + coa_c + h_c --> 3hpcoa_c + adp_c + pi_c,3hpp_c + atp_c + coa_c --> 3hpcoa_c + adp_c + pi_c,HPS,"{'charge': -1.0, 'H': -1.0}",3hpp_c + atp_c + coa_c --> 3hpcoa_c + adp_c + pi_c,,
HDCDH,cpd01599_c + h2o_c <=> cpd01957_c,glylcoa_c + h2o_c <=> hgylcoa_c,HDCDH,"{'charge': 1.0, 'H': 1.0}",glylcoa_c + h2o_c + h_c <=> hgylcoa_c ,These ids have been updated to bigg namespace,
