rxn_id,icbi_id,icbi_formula,icbi_charge,isg_id,isg_formula,isg_charge,curated_formula,curated_charge
3HAD100,tdec2eACP_c,C21H37N2O8PRS,-2,tdec2eACP_c,C21H37N2O8PRS,-1.0,C21H37N2O8PRS,-2
3HAD100,3hdecACP_c,C21H40N2O9PRS,-2,3hdecACP_c,C21H39N2O9PRS,-1.0,C21H40N2O9PRS,-2
3HAD140,3hmrsACP_c,C25H47N2O9PRS,-1,3hmrsACP_c,C25H47N2O9PRS,-1.0,C25H47N2O9PRS,-1
3HAD140,tmrs2eACP_c,C25H45N2O8PRS,-2,tmrs2eACP_c,C25H45N2O8PRS,-1.0,C25H45N2O8PRS,-2
3HAD160,3hpalmACP_c,C27H51N2O9PRS,-1,3hpalmACP_c,C27H51N2O9PRS,-1.0,C27H51N2O9PRS,-1
3HAD160,tpalm2eACP_c,C27H49N2O8PRS,-2,tpalm2eACP_c,C27H49N2O8PRS,-1.0,C27H49N2O8PRS,-2
3HAD60,thex2eACP_c,C17H29N2O8PRS,-1,thex2eACP_c,C17H29N2O8PRS,-1.0,C17H29N2O8PRS,-1
3HAD60,3hhexACP_c,C17H31N2O9PRS,-2,3hhexACP_c,C17H31N2O9PRS,-1.0,C17H31N2O9PRS,-2
3OAR120,3oddecACP_c,C23H42N2O9PRS,-2,3oddecACP_c,C23H41N2O9PRS,-1.0,C23H42N2O9PRS,-2
3OAR120,3hddecACP_c,C23H43N2O9PRS,-2,3hddecACP_c,C23H43N2O9PRS,-1.0,C23H43N2O9PRS,-2
3OAR140,3omrsACP_c,C25H46N2O9PRS,-2,3omrsACP_c,C25H45N2O9PRS,-1.0,C25H46N2O9PRS,-2
3OAR140,3hmrsACP_c,C25H47N2O9PRS,-1,3hmrsACP_c,C25H47N2O9PRS,-1.0,C25H47N2O9PRS,-1
3OAR160,3opalmACP_c,C27H50N2O9PRS,-2,3opalmACP_c,C27H49N2O9PRS,-1.0,C27H50N2O9PRS,-2
3OAR160,3hpalmACP_c,C27H51N2O9PRS,-1,3hpalmACP_c,C27H51N2O9PRS,-1.0,C27H51N2O9PRS,-1
3OAR18B,3hoctaACP_c,C29H55N2O9PRS,-1,3hoctaACP_c,C29H55N2O9PRS,-1.0,C29H55N2O9PRS,-1
3OAR18B,3osteACP_c,C29H54N2O9PRS,-2,3osteACP_c,C29H53O9N2PSR,-1.0,C29H54N2O9PRS,-2
3OAR40,actACP_c,C15H26N2O9PRS,-2,actACP_c,C15H25N2O9PRS,-1.0,C15H26N2O9PRS,-2
3OAR40,3hbutACP_c,C15H27N2O9PRS,-1,3hbutACP_c,C15H27N2O9PSR,-1.0,C15H27N2O9PRS,-1
3OAR60,3hhexACP_c,C17H31N2O9PRS,-2,3hhexACP_c,C17H31N2O9PRS,-1.0,C17H31N2O9PRS,-2
3OAR60,3ohexACP_c,C17H30N2O9PRS,-2,3ohexACP_c,C17H29N2O9PRS,-1.0,C17H30N2O9PRS,-2
