bigg,ms,names
PPA,PPA_c0,CustomReaction_c0
ACLS,ACLS_c0,pyruvate_pyruvate_acetaldehydetransferase_decarboxylating_c0
PDHam1hi,PDHam1hi_c0,pyruvate_thiamin_diphosphate_acetaldehydetransferase_decarboxylating_c0
ECH,ECH_c0,CustomReaction_c0
AHEXASE3,AHEXASE3_c0,chitobiose_N_acetylglucosaminohydrolase_c0
CLBH,CLBH_c0,cellobiose_glucohydrolase_c0
PPBNGS,PPBNGS_c0,5_aminolevulinate_hydro_lyase_adding_5_aminolevulinate_and_cyclizing_porphobilinogen_forming_c0
HMBS,HMBS_c0,porphobilinogen_4_2_carboxyethyl_3_carboxymethylpyrrol_2_ylmethyltransferase_hydrolysing_c0
ATPS,ATPS_c0,H_plus__exporting_ATPase_c0
GLUS,GLUS_c0,L_glutamate_NAD_plus__oxidoreductase_transaminating_c0
NADK,NADK_c0,ATP_NAD_plus__2_phosphotransferase_c0
GLUSy,GLUSy_c0,L_Glutamate_NADP_plus__oxidoreductase_transaminating_c0
ADK1,ADK1_c0,ATP_AMP_phosphotransferase_c0
DPCOAK,DPCOAK_c0,ATP_dephospho_CoA_3_phosphotransferase_c0
UREA,UREA_c0,Urea_amidohydrolase_c0
NMNAT,NMNAT_c0,ATP_nicotinamide_nucleotide_adenylyltransferase_c0
HAMR,HAMR_c0,ammonia_NAD_plus__oxidoreductase_c0
NDPK2,NDPK2_c0,ATP_UDP_phosphotransferase_c0
UMPK,UMPK_c0,ATP_UMP_phosphotransferase_c0
FMNAT,FMNAT_c0,ATP_FMN_adenylyltransferase_c0
METAT,METAT_c0,ATP_L_methionine_S_adenosyltransferase_c0
NTD7,NTD7_c0,Adenosine_5_monophosphate_phosphohydrolase_c0
BPNT,BPNT_c0,Adenosine_3_5_bisphosphate_3_phosphohydrolase_c0
ADPT,ADPT_c0,AMP_diphosphate_phospho_D_ribosyltransferase_c0
AHCi,AHCi_c0,S_Adenosyl_L_homocysteine_hydrolase_c0
PPDK,PPDK_c0,ATP_pyruvate_phosphate_phosphotransferase_c0
