iat_id,iat_name,bigg_id(>1),bigg_name(>1),bigg_charge,bigg_formula,isg_id,isg_name,isg_formula,isg_charge,isg_kegg
C00001_c,H2O,"['h2o', 'oh1']","['H2O H2O', 'Hydroxide ion HO']",[0],['H2O'],h2o_c,H2O H2O,H2O,0,C00001
C00002_c,ATP,,,[-4],['C10H12N5O13P3'],atp_c,ATP C10H12N5O13P3,C10H12N5O13P3,-4,C00002
C00003_c,NAD+_C21H27N7O14P2,,,[-1],['C21H26N7O14P2'],nad_c,Nicotinamide adenine dinucleotide,C21H26N7O14P2,-1,C00003
C00004_c,NADH_C21H29N7O14P2,,,[-2],['C21H27N7O14P2'],nadh_c,Nicotinamide adenine dinucleotide - reduced,C21H27N7O14P2,-2,C00004
C00005_c,NADPH_C21H30N7O17P3,,,[-4],['C21H26N7O17P3'],nadph_c,Nicotinamide adenine dinucleotide phosphate - reduced,C21H26N7O17P3,-4,C00005
C00006_c,NADP+_C21H28N7O17P3,,,[-3],['C21H25N7O17P3'],nadp_c,Nicotinamide adenine dinucleotide phosphate,C21H25N7O17P3,-3,C00006
C00007_c,Oxygen_O2,,,[0],['O2'],o2_c,O2 O2,O2,0,C00007
C00008_c,ADP_C10H15N5O10P2,,,[-3],['C10H12N5O10P2'],adp_c,ADP C10H12N5O10P2,C10H12N5O10P2,-3,C00008
C00009_c,Orthophosphate_H3O4P,,,[-2],"['H1O4P', 'HO4P', 'HPO4']",pi_c,Phosphate,H1O4P,-2,C00009
C00010_c,CoA_C21H36N7O16P3S,,,[-4],['C21H32N7O16P3S'],coa_c,Coenzyme A,C21H32N7O16P3S,-4,C00010
C00011_c,CO2_CO2,,,[0],['CO2'],co2_c,CO2 CO2,CO2,0,C00011
C00013_c,Diphosphate_H4O7P2,,,[-3],"['H1O7P2', 'HO7P2', 'P2HO7']",ppi_c,Diphosphate,H1O7P2,-3,C00013
C00014_c,NH3_H3N,"['nh3', 'nh4']","['Ammonia', 'Ammonium']",[0],['H3N'],nh3_c,Ammonia,H3N,0,C00014
