modification,reaction_id,reaction_name,old_reaction_equation,new_reaction_equation,mass_and_charge_balance_new,GPR,old_gpr,subsystem,confidence_level,TIC_association,is_blocked,isomer_group,iAT601_RAT_note,reaction_update_notes,metabolite_update_notes,lower_bound,upper_bound,literature_references,curation_notes,DB_links
,PPA,Inorganic diphosphatase,2.0 h_e + 2.0 pi_c --> h2o_c + 2.0 h_c + ppi_c,2.0 h_e + 2.0 pi_c --> h2o_c + h_c + ppi_c,{},CLO1313_RS04240,Clo1313_0823,Oxidative phosphorylation,2,,,,,,,0,1000,PMID23435896,annotated as sodium translocating,"{'EC NUMBER': ['3.6.1.1'], 'KEGG': ['R00004']}"
add:new_function,PPAna,Inorganic diphosphatase (sodium translocating),2.0 h_e + 2.0 pi_c --> h2o_c + 2.0 h_c + ppi_c,2.0 na1_e + 2.0 pi_c --> h2o_c + na1_c + ppi_c,{},CLO1313_RS04240,Clo1313_0823,Oxidative phosphorylation,2,,,,,,,0,1000,"PMID17605473, PMC3283130",annotated as sodium translocating,"{'EC NUMBER': ['3.6.1.1'], 'KEGG': ['R00004']}"
,ACLS,Acetolactate synthase,h_c + 2.0 pyr_c --> alac_c + co2_c,h_c + 2.0 pyr_c --> alac_c + co2_c,{},(CLO1313_RS00530 and CLO1313_RS00535) or CLO1313_RS01575,(Clo1313_0099 and Clo1313_0100) or Clo1313_0305,Pantothenate and CoA biosynthesis,4,,,"['alac_c', '3hmoa_c', 'alac__S_c']",,,"['MET_ID:alac_c, NOTE: delete isomer and keep alac__S']",0,1000,PMID26170002,,"{'BIGG': ['ACLS, ACLSm'], 'BRENDA': ['BR37100, BS386675'], 'EC NUMBER': ['2.2.1.6'], 'IAT CORE': ['VAL1'], 'KEGG': ['R00006, R00226'], 'METACYC': ['ACETOLACTSYN-RXN'], 'MXNREF': ['MNXR392'], 'RHEA': ['20501, 20502, 20503, 20504, 25249, 25250, 25251, 25252'], 'SEED': ['rxn00003'], 'UPA': ['UCR00226, UER00677']}"
,PDHam1hi,Pyruvate dehydrogenase (acetyl-transferring),2.0 h_c + pyr_c + thmpp_c --> 2ahethmpp_c + co2_c,h_c + pyr_c + thmpp_c --> 2ahethmpp_c + co2_c,{},CLO1313_RS00530 or CLO1313_RS00535 or CLO1313_RS01575,Clo1313_0099 or Clo1313_0100 or Clo1313_0305,Glycolysis/Gluconeogenesis,2,,,,,,,0,1000,,,"{'EC NUMBER': ['1.2.4.1         2.2.1.6         4.1.1.1'], 'KEGG': ['R00014, R08648'], 'METACYC': ['RXN-12583'], 'MXNREF': ['MNXR59103'], 'SEED': ['rxn00011'], 'UPA': ['UCR00014']}"
,HYDA,"(FeFe)-hydrogenase, cytoplasm (ECH)",2.0 fdxr_42_c + 2.0 h_c --> 2.0 fdxo_42_c + h2_c,2.0 fdxr_42_c + 2.0 h_c --> 2.0 fdxo_42_c + h2_c,{},(CLO1313_RS02885 and CLO1313_RS02890 and CLO1313_RS02895 and CLO1313_RS02900 and CLO1313_RS02905 and CLO1313_RS02910) and (CLO1313_RS15535 and CLO1313_RS02915 and CLO1313_RS02920 and CLO1313_RS02925 and CLO1313_RS02930 and CLO1313_RS02935) and (CLO1313_RS09510 or CLO1313_RS09060),Clo1313_0571 or Clo1313_1881 or Clo1313_1791 or Clo1313_0575 or Clo1313_0574 or Clo1313_0573 or Clo1313_0572 or Clo1313_0570,Redox metabolism,4,"['HYDA', 'H2ASE_syn']",,,,,"['MET_ID:fdxr_42_c, NOTE: (c therm uses 42 (uniprot). )', 'MET_ID:fdxo_42_c, NOTE: (c therm uses 42 (uniprot). )']",0,1000,"doi:10.1021/acs.inorgchem.5b02274, PMID2576310",GPR is organized as: (maturase 1 and maturase 2â€¦) and (ech_subunit 1 and ech_subunit 2â€¦) and (ferredoxin1 or ferredoxin2 or...).,"{'EC NUMBER': ['1.12.7.2        1.12.99.-'], 'IAT CORE': ['FEM14, ECH'], 'KEGG': ['R00019']}"
,AHEXASE3,"Beta-N-acetylhexosaminidase, cytosol",chtbs_c + h2o_c --> 2.0 acgam_c,chtbs_c + h2o_c --> 2.0 acgam_c,{},CLO1313_RS09635,Clo1313_1904,Amino sugar and nucleotide sugar metabolism,2,,TRUE,"['acgam_c', 'acmana_c', 'acgal_c']",,,,0,1000,,isolated,"{'EC NUMBER': ['3.2.1.52'], 'KEGG': ['R00022, R06141'], 'METACYC': ['RXN-12625'], 'MXNREF': ['MNXR5635'], 'RHEA': ['30671, 30672, 30673, 30674'], 'SEED': ['rxn00016']}"
,CLBH,Cellobiose hydrolase,cellb_c + h2o_c --> 2.0 glc__bD_c,cellb_c + h2o_c --> 2.0 glc__D_c,{},CLO1313_RS05115 or CLO1313_RS10225 or CLO1313_RS04225,Clo1313_1002 or Clo1313_2020 or Clo1313_0820,Starch and sucrose metabolism,2,,TRUE,"['glc__D_c', 'fru_c', 'gal_c', 'glc__bD_c', 'glc__aD_c', 'fru_B_c']",,isomer,,0,1000,,,"{'BIOCYC': ['RXN-10773'], 'EC NUMBER': ['3.2.1.21'], 'KEGG': ['R00026'], 'MXNREF': ['MNXR14507'], 'RHEA': ['30679, 30680, 30681, 30682'], 'SEED': ['rxn00020']}"
,PPBNGS,Porphobilinogen synthase,2.0 h2o_c + h_c + ppbng_c --> 2.0 5aop_c, 2.0 5aop_c --> 2.0 h2o_c + h_c + ppbng_c,{},CLO1313_RS00595,Clo1313_0112,Porphyrin and chlorophyll metabolism,2,,TRUE,"['5aop_c', '4hpro_LT_c', 'glu5sa_c', 'glu1sa_c']",,,,0,1000,,reaction direction was not correct. Creating gap,"{'BIGG': ['PPBNGS'], 'BIOPATH': ['RXN00685'], 'BRENDA': ['BR22826'], 'EC NUMBER': ['4.2.1.24'], 'KEGG': ['R00036'], 'METACYC': ['PORPHOBILSYNTH-RXN'], 'MXNREF': ['MNXR4380'], 'REACTOME': ['REACT_102149, REACT_105735, REACT_108067, REACT_108366, REACT_109551, REACT_115799, REACT_29574, REACT_30060, REACT_34582, REACT_78417, REACT_79090, REACT_86208, REACT_86506, REACT_87228, REACT_87418, REACT_91105, REACT_93306, REACT_9430, REACT_95615, REACT_95858'], 'RHEA': ['24064, 24065, 24066, 24067'], 'SEED': ['rxn00029'], 'UPA': ['UCR00036, UER00318']}"
delete:correct_direction_and_id,RIBFS,Riboflavin synthase,4r5au_c + ribflv_c --> 2.0 dmlz_c,4r5au_c + ribflv_c --> 2.0 dmlz_c + h_c,{},CLO1313_RS10780,Clo1313_2126,Riboflavin metabolism,2,,TRUE,,,,,0,1000,,,"{'BIGG': ['RBFSb'], 'BRENDA': ['BR47473'], 'EC NUMBER': ['2.5.1.9'], 'KEGG': ['R00066'], 'METACYC': ['RIBOFLAVIN-SYN-RXN'], 'MXNREF': ['MNXR4584'], 'RHEA': ['20772, 20773, 20774, 20775'], 'SEED': ['rxn00048'], 'UPA': ['UCR00066, UER00405']}"
add:correctioin,RBFSb,Riboflavin synthase,4r5au_c + ribflv_c --> 2.0 dmlz_c,2.0 dmlz_c + h_c --> 4r5au_c + ribflv_c,{},CLO1313_RS10780,Clo1313_2126,Riboflavin metabolism,2,,TRUE,,,,,0,1000,,,"{'BIGG': ['RBFSb'], 'BRENDA': ['BR47473'], 'EC NUMBER': ['2.5.1.9'], 'KEGG': ['R00066'], 'METACYC': ['RIBOFLAVIN-SYN-RXN'], 'MXNREF': ['MNXR4584'], 'RHEA': ['20772, 20773, 20774, 20775'], 'SEED': ['rxn00048'], 'UPA': ['UCR00066, UER00405']}"
