old_ids,new_ids,detected_count,product,generic_or_non_metabolic,in_isg2
Clo1313_0893,CLO1313_RS04575,4,"beta-1,4-galactosyltransferase enhancer",,
Clo1313_2801,CLO1313_RS14225,4,YbaB/EbfC family nucleoid-associated protein,,
Clo1313_1653,CLO1313_RS08350,4,DUF503 domain-containing protein,,
Clo1313_0667,CLO1313_RS03455,4,glycosyl transferase family 1,,
Clo1313_0479,CLO1313_RS02430,4,EVE domain-containing protein,,
Clo1313_0892,CLO1313_RS04570,4,NAD-dependent epimerase,,['UGE2']
Clo1313_1123,CLO1313_RS05705,4,metallophosphoesterase,,
Clo1313_2468,CLO1313_RS12505,4,3-deoxy-7-phosphoheptulonate synthase,,['DPHS']
Clo1313_0061,CLO1313_RS00325,4,electron transport complex subunit RsxC,,['RNF']
Clo1313_2637,CLO1313_RS13385,4,alkyl hydroperoxide reductase subunit F,,"['HSEOR', 'HSOR', 'TRDR', 'MSOR']"
Clo1313_1796,CLO1313_RS09085,4,hypothetical protein,y,
Clo1313_0641,CLO1313_RS03280,4,fumarate hydratase,,['FUM']
Clo1313_1036,CLO1313_RS05280,4,glycosyl transferase,,
Clo1313_1746,CLO1313_RS08830,4,flagellar hook protein FlgE,,
Clo1313_2954,CLO1313_RS15010,4,amino acid ABC transporter ATP-binding protein,,"['ASNt2r', 'GLUt2r', 'ASPt2r']"
Clo1313_1404,CLO1313_RS07105,4,diguanylate cyclase,,['GGT']
Clo1313_1816,CLO1313_RS09185,4,endoglucanase,,['CELLULOSOME_TERM']
Clo1313_0282,CLO1313_RS01460,4,acyltransferase,,
Clo1313_2934,CLO1313_RS14910,4,hypothetical protein,y,['ATPS']
Clo1313_2143,CLO1313_RS10865,4,rod shape-determining protein,,
Clo1313_2071,CLO1313_RS10490,4,GTPase Obg,,
Clo1313_0934,CLO1313_RS04780,4,molecular chaperone DnaJ,,
Clo1313_2957,CLO1313_RS15025,4,chemotaxis protein,y,
Clo1313_0905,CLO1313_RS04635,4,30S ribosomal protein S21,,
Clo1313_0032,CLO1313_RS00170,4,DUF1021 domain-containing protein,,
Clo1313_1558,CLO1313_RS07860,4,protease modulator HflC,,
Clo1313_2451,CLO1313_RS12415,4,copper amine oxidase,,
Clo1313_2441,CLO1313_RS12360,4,hypothetical protein,y,
