Protein,Desc,R1_t4,R2_t5,R1_t7,R2_t9,R21_t6,R22_t6,R21_t9,R22_t9
Clo1313_0001,chromosomal replication initiator protein DnaA  ,18.3500425,18.416395,18.08755,18.16875,18.298638125,17.957285,18.3643175,18.07379
Clo1313_0002,"DNA polymerase III, beta subunit (EC 2.7.7.7)  ",18.93633,19.02613875,19.17226,19.0141,18.33919,17.53531,19.22241,17.62588
Clo1313_0005,hypothetical protein  ,8.8,8.8,8.8,8.8,16.42117,16.368425,16.00069,17.59273
Clo1313_0006,"DNA gyrase, B subunit  ",18.63498,18.79348,18.96500125,18.493095,18.0102,17.8506275,17.95701,17.526655
Clo1313_0007,chromosome segregation ATPase  ,18.2919625,19.006615,18.7935,18.788875,18.51247,18.774725,19.120235,18.147895
Clo1313_0008,parB-like partition protein  ,17.33773,17.51264,16.87982,17.307945,16.9954,17.43983,17.38632,17.07867
Clo1313_0009,hypothetical protein  ,8.8,17.00458,17.03146,17.20117,8.8,8.8,17.362845,8.8
Clo1313_0010,TPR repeat-containing protein  ,8.8,8.8,13.6631175,13.85267,8.8,13.428365,14.496375,12.18937
Clo1313_0011,seryl-tRNA synthetase (EC 6.1.1.11)  ,18.78002,19.354825,19.271765,19.24411,19.73832,19.1123,20.15751,19.31018
Clo1313_0013,copper amine oxidase-like domain-containing protein  ,20.224175,20.93136,21.14917625,20.71015,19.07838,16.52606,19.65422,17.9646
Clo1313_0016,VanW family protein  ,16.052475,16.88863,16.460925,16.38028,8.8,13.0914025,15.4633975,8.8
Clo1313_0018,hypothetical protein  ,15.65513,14.13903,15.25062,16.0938,15.82134,16.00585,16.21669,15.93151
Clo1313_0020,"pyruvate/ketoisovalerate oxidoreductase, gamma subunit  ",22.71119125,22.475764375,22.761165,23.01249,22.452435,23.02479125,22.99918125,23.4886975
Clo1313_0021,"pyruvate ferredoxin/flavodoxin oxidoreductase, delta subunit  ",20.62157125,20.7458933333333,20.872215,21.630175,20.61541,21.5772,21.35349,21.93794
Clo1313_0022,pyruvate flavodoxin/ferredoxin oxidoreductase domain protein  ,22.992235,22.6800425,23.423395,23.74173,23.036585,23.88858,23.92813625,24.317285
Clo1313_0023,thiamine pyrophosphate TPP-binding domain-containing protein  ,21.6130775,21.7629825,21.864545625,22.21237,21.79749,22.384795,22.3355325,22.743635
Clo1313_0030,Formate-tetrahydrofolate ligase (EC 6.3.4.3)  ,19.97697,20.3115625,19.94232,19.97346,19.76182,19.7831,20.10343,19.418315
Clo1313_0032,protein of unknown function DUF1021  ,8.8,8.8,8.8,15.7702025,16.3270325,16.9733,17.0527125,8.8
Clo1313_0035,"transcriptional regulator, GntR family  ",18.74628,18.95407,18.87906,18.24654,18.415045,17.22739,18.26548,17.4696475
Clo1313_0038,AAA ATPase central domain protein  ,16.53431,17.3902575,17.89744,18.14779,17.050185,16.92458,18.10108,17.077355
Clo1313_0039,phage shock protein A (PspA) family protein  ,21.4561975,21.6564077777778,21.6279625,21.6615375,20.782275,20.29069,21.371445,20.33505
Clo1313_0047,germination protein YpeB  ,16.15923,15.92006,16.5052,16.68402,15.65474,17.09848,16.39188,15.95262
Clo1313_0050,"primosome, DnaD subunit  ",8.8,8.8,8.8,12.3028,8.8,8.8,14.48193,11.56477
Clo1313_0053,hypothetical protein  ,18.751025,18.73792,18.729925,18.8471025,17.966355,17.49934,18.4129675,18.02372
Clo1313_0054,type 3a cellulose-binding domain protein  ,17.800945,17.59083,17.951425,17.589875,15.682305,14.8197775,16.64243,15.6113425
Clo1313_0055,copper amine oxidase-like domain-containing protein  ,15.28278,17.17136,17.47377,17.2802,8.8,8.8,13.702975,8.8
Clo1313_0058,protein of unknown function DUF1385  ,8.8,8.8,14.45163,13.403205,13.346625,14.65719,15.18838,14.893
Clo1313_0061,"electron transport complex, RnfABCDGE type, C subunit  ",20.00346,20.031585,20.616935,20.52731,18.97108,18.59355,20.02585,18.7505
Clo1313_0063,"electron transport complex, RnfABCDGE type, G subunit  ",19.32532,19.812025,19.708905,19.55392,17.57133,17.64971,18.69289,17.9574675
Clo1313_0064,"electron transport complex, RnfABCDGE type, E subunit  ",18.15027,18.4628325,18.6900275,19.1184725,16.51305,16.35555,17.77047,16.5286275
Clo1313_0066,"electron transport complex, RnfABCDGE type, B subunit  ",18.687545,19.6800075,19.89213625,19.95923,17.431185,17.897665,18.49528,18.305715
Clo1313_0068,shikimate kinase (EC 2.7.1.71)  ,15.65701,15.40934,15.8300725,15.6041,13.666915,14.2652,14.65499,14.98827
Clo1313_0073,glycerol kinase (EC 2.7.1.30)  ,8.8,8.8,8.8,8.8,8.8,8.8,13.02639,12.60026
Clo1313_0074,transketolase subunit A (EC 2.2.1.1)  ,13.69737,14.20143,15.75382,15.44183,15.52093,14.894915,16.53426,16.06494
Clo1313_0075,transketolase subunit B (EC 2.2.1.1)  ,16.428,17.53033,18.58696,18.72151,18.6826775,18.067085,17.9447,18.1431025
Clo1313_0076,Alcohol dehydrogenase GroES domain protein  ,16.45505,16.78405,16.960395,17.47858,16.702245,15.49077,17.59283,16.05515
Clo1313_0077,hypothetical protein  ,21.6635175,21.738905,22.185525,22.24883,22.065325,21.471435,22.530785,21.735345
Clo1313_0078,ABC transporter related protein  ,16.101435,16.42652,16.7403,16.56109,16.74409,15.334975,17.3432,16.75829
Clo1313_0082,oligopeptidase F. Metallo peptidase. MEROPS family M03B  ,8.8,14.89846,14.70926,15.27192,14.68822,14.32629,16.44411,8.8
Clo1313_0094,MscS Mechanosensitive ion channel  ,16.1963425,17.3079775,16.1991025,16.1645025,8.8,14.708625,16.3028925,16.13786
Clo1313_0099,"acetolactate synthase, large subunit (EC 2.2.1.6)  ",18.756865,18.12513,18.61006,18.9921,18.3495,17.872735,19.74894,17.77674625
Clo1313_0100,"acetolactate synthase, small subunit (EC 2.2.1.6)  ",21.350015,21.0542625,20.802395,21.30682,20.941775,20.21888,21.51558,19.8637075
