locus_tag,old_locus_tag,gene,product
CLO1313_RS00010,Clo1313_0001,,chromosomal replication initiator protein DnaA
CLO1313_RS00015,Clo1313_0002,,DNA polymerase III subunit beta
CLO1313_RS00020,Clo1313_0003,,RNA-binding protein S4
CLO1313_RS00025,Clo1313_0004,,DNA replication and repair protein RecF
CLO1313_RS00030,Clo1313_0005,,DUF370 domain-containing protein
CLO1313_RS00035,Clo1313_0006,gyrB,DNA topoisomerase (ATP-hydrolyzing) subunit B
CLO1313_RS00040,Clo1313_0007,,ParA family protein
CLO1313_RS00045,Clo1313_0008,,chromosome partitioning protein ParB
CLO1313_RS00050,Clo1313_0009,,DUF4446 domain-containing protein
CLO1313_RS00055,Clo1313_0010,,hypothetical protein
CLO1313_RS00060,Clo1313_0011,,serine--tRNA ligase
CLO1313_RS00075,Clo1313_0012,,MFS transporter
CLO1313_RS00080,Clo1313_0013,,copper amine oxidase
CLO1313_RS00085,Clo1313_0014,,S-layer homology domain-containing protein
CLO1313_RS00090,Clo1313_0015,,hypothetical protein
CLO1313_RS00095,Clo1313_0016,,vanomycin resistance protein VanB
CLO1313_RS00100,Clo1313_0017,,peptidase M14
CLO1313_RS00105,Clo1313_0018,,DUF2508 domain-containing protein
CLO1313_RS00110,Clo1313_0019,,pro-sigmaK processing inhibitor BofA
CLO1313_RS00115,Clo1313_0020,,pyruvate synthase
CLO1313_RS00120,Clo1313_0021,,ferredoxin
CLO1313_RS00125,Clo1313_0022,porA,2-ketoisovalerate ferredoxin oxidoreductase subunit alpha
CLO1313_RS00130,Clo1313_0023,,thiamine pyrophosphate protein TPP-binding
CLO1313_RS15480,Clo1313_0024,,cyclic lactone autoinducer peptide
CLO1313_RS00135,Clo1313_0025,,hypothetical protein
CLO1313_RS00140,Clo1313_0026,,XRE family transcriptional regulator
CLO1313_RS00145,Clo1313_0027,,hypothetical protein
CLO1313_RS00150,Clo1313_0028,,glycosyl transferase family 39
CLO1313_RS00155,Clo1313_0029,,CotS family spore coat protein
CLO1313_RS00160,Clo1313_0030,,formate--tetrahydrofolate ligase
CLO1313_RS00165,Clo1313_0031,yabG,peptidase
CLO1313_RS00170,Clo1313_0032,,DUF1021 domain-containing protein
CLO1313_RS00175,Clo1313_0033,,peptidoglycan-binding protein LysM
CLO1313_RS00180,Clo1313_0034,,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
CLO1313_RS00185,Clo1313_0035,,GntR family transcriptional regulator
CLO1313_RS00190,Clo1313_0036,,heavy metal transporter
CLO1313_RS00195,Clo1313_0037,,chemotaxis protein CheX
CLO1313_RS00200,Clo1313_0038,,ATP-binding protein
CLO1313_RS00205,Clo1313_0039,,hypothetical protein
CLO1313_RS00210,Clo1313_0040,,hypothetical protein
CLO1313_RS00215,Clo1313_0041,,DUF342 domain-containing protein
